Orbit number;Mid-point;Uncertainty;Time System;Source;Color;Reference
1616;2460465.1771355974;0.000366124;BJD_TDB;TESS;g;This work
1618;2460466.5222258233;0.000954484;BJD_TDB;TESS;g;This work
1619;2460467.19510749;0.000427456;BJD_TDB;TESS;g;This work
1620;2460467.867316973;0.000457625;BJD_TDB;TESS;g;This work
1621;2460468.5400703847;0.000452365;BJD_TDB;TESS;g;This work
1622;2460469.212184922;0.000448136;BJD_TDB;TESS;g;This work
1623;2460469.884216651;0.000505282;BJD_TDB;TESS;g;This work
1624;2460470.556852514;0.000780464;BJD_TDB;TESS;g;This work
1625;2460471.2293815264;0.000427895;BJD_TDB;TESS;g;This work
1626;2460471.902087231;0.000433272;BJD_TDB;TESS;g;This work
1629;2460473.9196972903;0.000722319;BJD_TDB;TESS;g;This work
1635;2460477.9539204687;0.000511537;BJD_TDB;TESS;g;This work
1636;2460478.6269326373;0.000778338;BJD_TDB;TESS;g;This work
1637;2460479.299341823;0.000431704;BJD_TDB;TESS;g;This work
